,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
861,2210003,São João do Piauí,22,PI,442.70283400809717,467.81278625954195,485.10381679389315,469.51214574898785,504.42748091603056
862,2210052,São José do Divino,22,PI,452.4102564102564,481.92459016393445,483.9516393442623,496.13589743589745,522.9508196721312
863,2210102,São José do Peixe,22,PI,416.8972222222222,436.52972972972975,448.71351351351353,452.17499999999995,465.4054054054054
864,2210201,São José do Piauí,22,PI,442.6692913385827,463.73046875,484.23359375,487.4913385826772,582.65625
865,2210300,São Julião,22,PI,456.2212962962963,485.1036363636364,501.0954545454546,492.44074074074075,590.5454545454545
866,2210359,São Lourenço do Piauí,22,PI,426.93580246913587,452.3780487804878,461.95243902439023,469.25370370370376,541.5853658536586
867,2210375,São Luis do Piauí,22,PI,434.06825396825394,473.9507936507937,487.4063492063492,500.56349206349205,580.0
868,2210383,São Miguel da Baixa Grande,22,PI,431.158,468.8076923076923,470.9442307692307,475.38800000000003,538.8461538461538
869,2210391,São Miguel do Fidalgo,22,PI,428.9409090909091,460.2043478260869,474.56666666666666,468.5545454545454,509.8550724637681
870,2210409,São Miguel do Tapuio,22,PI,430.88616352201257,459.95740181268883,473.94924471299095,462.46320754716976,494.6827794561934
871,2210508,São Pedro do Piauí,22,PI,429.61192411924117,457.42175066312996,479.14482758620693,471.539837398374,506.631299734748
872,2210607,São Raimundo Nonato,22,PI,440.6756195043964,465.02992307692307,480.1006923076923,471.5681854516387,522.0
873,2210623,Sebastião Barros,22,PI,415.3629213483146,425.90786516853933,448.2696629213483,454.2730337078652,476.85393258426967
874,2210631,Sebastião Leal,22,PI,437.3862068965517,450.19444444444446,468.66555555555556,457.5471264367816,431.3333333333333
875,2210656,Sigefredo Pacheco,22,PI,433.9964788732394,466.35782312925176,479.9639455782313,482.24366197183105,531.8367346938776
876,2210706,Simões,22,PI,444.05401459854016,468.862323943662,481.994014084507,486.9178832116788,544.8591549295775
877,2210805,Simplício Mendes,22,PI,439.3910714285715,449.3025531914894,477.38,466.8705357142857,475.40425531914894
878,2210904,Socorro do Piauí,22,PI,423.15584415584414,436.9125,455.62749999999994,446.93246753246757,503.75
879,2210938,Sussuapara,22,PI,452.6845303867403,480.3290322580645,489.8650537634408,503.12320441988953,573.2258064516129
880,2210953,Tamboril do Piauí,22,PI,421.2896551724138,442.3169491525424,466.9305084745763,456.38965517241377,459.3220338983051
881,2210979,Tanque do Piauí,22,PI,454.21012658227846,494.27951807228914,507.8614457831325,498.6037974683544,630.1204819277109
882,2211001,Teresina,22,PI,479.1572517385257,506.71833088529837,519.6332647883563,525.4639221140473,602.3474429162773
883,2211100,União,22,PI,442.99544468546634,462.7431289640592,483.73847780126846,470.9786334056399,540.3171247357294
884,2211209,Uruçuí,22,PI,444.80872180451126,461.3801152737752,478.23285302593655,472.81789473684216,518.328530259366
885,2211308,Valença do Piauí,22,PI,448.5756062767475,470.73028649386083,486.6717598908595,486.0592011412268,529.8772169167803
